"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"2478","96-3-13118","Fragrances at Upto 50% OFF","OMG sale is back on fragrances, A wide variety of branded and unique fragrances are for sale at Purplle, Upto 50% Off is being available only for you, Don t miss the oppurtunity","Up 50% Off is being available","","fragrances","50% Off is being","","",""
"2479","96-3-13119","Flat 10% OFF on L&#39;oreal Professional Products","Conditioners, Hair Oils, Hair Gels etc, are available at Purplle with absolutely flat 10% Off over the purchase, Give the best look to yourself","yourself","","","yourself","","",""
"2480","96-3-13120","Flat 20% Off on L&#39;Oreal Paris Products","Conditioners, Cleansers, Body Lotions and many more products are available for sale only at Purplle, Don t miss this opportunity of Flat 20% OFF","Flat 20% OFF","","","","","",""
"2481","96-3-13121","Flat 15% OFF on TresemmeProducts","Branded and world class Conditioners and Shampoos make your hair more comfortable and wowwy, Yeah, Buy Tresemme products at Purplle and get Flat 15% off on purchase","Flat 15% off on purchase","","purchase","","","",""
"2482","96-3-13122","Flat 20% Off VLCC Products","Body care and Hair Care products from VLCC with Flat 20% discount only at Purplle, Make the best deal more useful and get these products to your home","Flat 20% discount only at Purplle","","get these products to your home","your home","","",""
"2483","96-3-13465","Upto 35% OFF on ANDIS Mens Shaver and Trimmers","The most Convenient, Stylish and High performance branded Trimmer at low price, Now buy and get upto 35% OFF on Andis Mens Shavers and Trimmers, No Code needed","Now buy and get upto 35%","","Andis Mens Shavers and Trimmers","35% OFF on Andis","","","buy and get upto"
"2484","96-3-13466","Upto 36% OFF on Hair Accessories","Make your Hair look beautiful than ever with our hair accessories, Be stylish and Try New Hair styles with our Hair straighteners, Dryers etc., Now buy and Get Upto 36% OFF on selected Hair Accessories, No Code needed","Now buy and Get Upto 36%","","selected Hair Accessories","36% OFF on selected","","","buy and Get Upto"
"2485","96-3-13924","Flat 20% OFF on Lip Sticks","Buy now and take away flat 20% discounts on branded Lip Sticks listed on the offers page, No Code needed.","now and take away flat 20%","","branded Lip Sticks listed","","","",""
"2486","96-3-14315","Get Rs. 150 OFF on Lakme Makeup pro","ABCD2 Look , Lakme Makeup Pro , Now Buy Products worth Rs, 1000 from ABCD2 Disney collection and Get Rs, 150 OFF, No Code needed.","Now Buy Products worth Rs","Rs 1000 from ABCD2 Disney collection","","","","","Buy Products worth Rs"
"2487","96-3-14317","20% OFF on Loreal Paris","L'Oreal Paris is a French company and a global leader in beauty trends, , L Oreal Paris have products of consumers, professional, luxury, and active cosmetics, L Oreal Paris has introduced a range of products designed exclusively for men, Now Buy and get a Minimum Discount of 20% OFF on Loreal Paris products, No Code needed","Now Buy and get a Minimum","","Loreal Paris products","","","","Buy and get a"
"2488","96-3-14318","Flat 25% OFF on all Maybelline Products","Purplle Maybelline Sale - Maybelline in India is one of the world's top cosmetic companies, It is famous for its wide selection of Maybelline makeup products such as lipstick, eye shadow, lip liners and eye liners, Maybelline in India has its popular products like Maybelline Colossal Kajal, Maybelline Baby Lips and you can buy Maybelline products on Purplle, Now Buy and get FLAT 25% OFF on all Maybelline Products, Go Hurry UP ","Now Buy and get FLAT 25%","","of Maybelline makeup products such as lipstick eye shadow lip liners and eye liners"," Maybelline Colossal Kajal Maybelline Baby Lips and you can buy Maybelline products on Purplle","","Lips and you can","Buy and get FLAT"
"2489","96-3-14319","Upto 25% OFF on Tresemme Products","Tresemme is a brand of hair care products, Tresemme hair products will helps to get salon style hair at home, Tresemme products India is well known for its shampoos, conditioners and moisturisers which are especially designed to repair all kinds of hair damage and leave you with stronger, shiny, smooth and salon-soft hair","now for its shampoos conditioners and","","get salon style hair at home","get salon style hair","","",""
"2490","96-3-14320","Flat 25% OFF on Toni and Guy hair Products","TONI&GUY hair products help ensure your hair is as stylish as your wardrobe with shampoos, conditioners, styling products and treatments to achieve catwalk-worthy locks and looks, Now Buy and get 25% OFF on Toni & Guy Hair products, No Code needed","Now Buy and get 25% OFF","","Toni & Guy Hair products","achieve catwalk-worthy locks and","","","Buy and get 25%"
"2491","96-3-14422","Buy 1 Get 1 Free on Cosmetics","Added a any two products and get the lowest priced product for free, This offer is for limited time period and its is running on multiple products","","","multiple products","","","",""
"2492","96-3-14424","Buy 2 Get 1 Free Offer On Axe Deodorant Combo Pack","Now Buy 2 Get 1 Free Offer On Axe Deodorant Combo Pack Shown On The offers Page, No Coupon Code needed to avail this Offer.","Now Buy 2 Get 1 Free","","","avail this Offer.","","","Buy 2 Get 1"
"2493","96-3-14931","Upto 28% OFF on Engage Products","Buy now and make the most of this ongoing Monsoon sale at Purplle and take away discount upto 28% on widest range of Engage Products, No Code needed, Hurry up as this offer is valid for few days","now and make the most of","","sale at Purplle and take away discount upto 28%","28% on widest range","valid for few days","",""
"2494","96-3-151","43% OFF on Adidas Perfumes","Get a good 43% Off on fragrance for women and men, deodorant for men and women, fragrance for men, body wash and gift and value sets for men, Hang on to discover more Purplle Coupons for more shopping and savings","discover more Purplle Coupons","","fragrance for women and men deodorant for men and women fragrance for men body wash and gift and value sets for men","discover more Purplle Coupons","","",""
"2495","96-3-15258","Flat 15% OFF On Faces Products","Buy now and take away flat 15% discount on 300+ products by Faces displayed on the offers page, No Code needed.","now and take away flat 15%","","300+ products by Faces displayed","","","Faces displayed on the",""
"2496","96-3-15401","Upto 40% OFF On Philips Products","Buy now and take away discount upto 40% on wide range of Philips products listed on the offers page, This offer is valid for limited period, Hurry up","now and take away discount upto","","wide range of Philips products listed","40% on wide range","valid for limited period","",""
"2497","96-3-15739","Upto 30% OFF on Fiama Di Wills Products","Friendship Week Celebration - Get upto 30% discount on 50+ top selling Fiama Di Wills top selling Products listed on the listing page, No Code needed to avail this offer, Hurry up as this offer is valid till stock lasts","on 50+ top selling","","- Get upto 30% discount","30% discount on 50+","valid till stock lasts","",""
"2498","96-3-16955","Dove Monsoon Carnival - 10% OFF on Dove Shampoo & Conditioner","Make the most of this ongoing Monsoon Carnival where you enjoy to get 10% discount on Dove Shampoo & Conditioner, No Code needed.","on Dove Shampoo &","","Carnival where you enjoy to get 10% discount","get 10% discount on","","",""
"2499","96-3-16990","Upto 33% OFF Soulflower Products","Get upto 33% discount on Soulflower beauty Products displayed on the listing page, No Code needed.","on Soulflower beauty Products","","Soulflower beauty Products displayed","33% discount on Soulflower","","",""
"2500","96-3-17193","Buy 2 Get 1 Free Fragrance","Purplle is running Buy 2 Get 1 Free campaign where user can avail this offer on wide range of top brand Fragrance listed on the lading page.","brand Fragrance listed on","","wide range of top brand Fragrance listed","brand Fragrance listed on","","",""
"2501","96-3-17318","BUY 2 GET 1 DEO","Buy now and this amazing offer where you get a free DEO, Checkout the offer page where you could see wide range of products to choose from.","now and this amazing offer where","","get a free DEO","choose from.","","",""
"2502","96-3-17343","Upto 45% OFF on Styling Tools","Buy now and take away discount upto 45% on top branded Styling Tools listed on the listing page, No Code needed, Hurry!","now and take away discount upto","","top branded Styling Tools listed","45% on","","",""
"2503","96-3-17539","Hair & Body Care Products - Flat 30% OFF (Only Today)","Purplle Offers astonishing and magnificent deal where Nyassa and Soulflower brand body and haircare products can be Availbed at Flat 30% DISCOUNT, No Extra Purplle discount coupon is needed, Hurry Up","Flat 30% DISCOUNT","at Flat 30% DISCOUNT","","and magnificent deal where","","",""
"2504","96-3-17620","Get 20% OFF On Garnier Products","Purplle offers whopping 20% OFF on garnier beauty products for men in this listing page, No Extra Code needed, Check out this link and add best- loved products to cart, Look beautiful stay confident","cart","","garnier beauty products for men in this listing page","cart","","",""
"2505","96-3-17783","Flat 20% OFF On Hair & Body Care Products","Purplle offers Flat 20% OFF on neutrogena and clean & clear body and hair care brands in this link, No Code needed, Offer ends today, Hurry Up","Flat 20% OFF on neutrogena and","","neutrogena and clean & clear body and hair care brands in this link","","","",""
"2506","96-3-17912","Flat 25% OFF on Avon Products","Buy now and take away flat 25% discount on all Avon beauty products listed on the listing page, No Code needed.","now and take away flat 25%","","all Av","","","",""
"2507","96-3-18875","Flat 10% OFF on Lakme & Ponds Skin Care Products","Purplle Beauty Sale - Buy now ad take away discount of flat 10% on Lakme & Ponds Skin Care Products listed on the listing page, No Code needed","now ad take away discount of","","Lakme & Ponds Skin Care Products listed","","","",""
"2508","96-3-1891","Flat 25% OFF on Nivea Products","Get discounts on 111 Nivea products which includes after shave for men, body lotion, bodywash, deodorant, face wash etc, Buy now and take away this rebate on your purchases, No Code needed, Hang on to see more Purplle Coupons for great savings on your online shopping, Hurry","now and take away this rebate","","111 Nivea products which includes after shave for men body lotion bodywash deodorant face wash etc","see more Purplle Coupons","","",""
"2509","96-3-1893","Upto 15% OFF on Aloe Veda","Body lotion, body oil, face wash, hair oil are some of the products from Aloe Veda which could be brought at a discount of 15%","of 15%","","","","","",""
"2510","96-3-2957","Flat 25% OFF on Lakme Products","Buy now and take away flat 25% rebate on Lakme products, This deal is only valid on the latest collection of lakme cosmetic products listed on the offers page, There are 605 products listed in this catalogue where you could choose your product from one of the best beauty and cosmetic brand in the world, Hang on to discover more latest Purplle Coupons here","now and take away flat 25%","","Lakme products","discover more latest Purplle","valid on the latest collection of","",""
